"","name_country","Distributor Group","sumcountryis_air","sumcountryis_nat.soil_offfield","sumcountryis_water_offfield","sumcountryis_agr.soil","sumvaluedistributor","sumcountryis"
"90","BOLIVIA","BASF",15532756.285111,695149.214483524,1566736.97488762,45613840.1625262,5656.337,63408482.6370083
"91","BOLIVIA","BAYER-CROPSCIENCE",41792071.4338737,1037521.98784707,4914211.95228859,140660094.401649,29677.726,188403899.775658
"92","BOLIVIA","BHARAT-GROUP",490143.095785046,53295.4007491913,15243.1594172121,3758215.90518435,1341.636,4316897.5611358
"93","BOLIVIA","CORTEVA-(DOW/DUPONT)",21589477.722611,1680627.0858074,19273661.7779892,114974016.382,12508.343,157517782.968408
"94","BOLIVIA","FMC",10034810.2448426,82982.5604262997,2461737.65244267,5574873.90286699,1883.058,18154404.3605786
"95","BOLIVIA","NUFARM",12018396.0782563,1031962.57108415,588822.268335954,69112721.3496482,1804.114,82751902.2673246
"96","BOLIVIA","PUNJAB",0,0,0,0,1.465,0
"97","BOLIVIA","SINOCHEM",6378945.66777563,233005.419790042,2829443.03911248,22378480.8231087,234.61,31819874.9497868
"98","BOLIVIA","SIPCAM-OXON",0,0,0,0,1410.497,0
"99","BOLIVIA","SUMITOMO CHEMICAL",196360.291478643,10544.4688658742,12848.4620266407,708129.938666535,483.008,927883.161037693
"100","BOLIVIA","SYNGENTA",716593775.253002,13813294.3431835,304843665.525266,930782741.807045,19358.787,1966033476.9285
"101","BOLIVIA","UNITED-PHOSPHOROUS/UPL",47698594.9532085,557751.808115041,4859173.26118297,53153814.8348469,1711.865,106269334.857353
"102","BOLIVIA","VARIOUS",2019458278.59813,62221080.4686346,671633884.700142,4620795776.66462,94255.823,7374109020.43152
"103","BRAZIL","ADAMA",6312531926.12193,496737589.572426,2027621379.99627,28294767118.266,335214.194,37131658013.9566
"104","BRAZIL","ALBAUGH",7783513198.60162,1317686399.02765,138729482.73646,38715896221.329,68086.901,47955825301.6947
"105","BRAZIL","AMVAC",598327384.536599,111127293.321124,4182317.02149005,2679268313.04539,7018.507,3392905307.9246
"106","BRAZIL","AVGUST",1944517.22886581,333662.230848341,82428.6516740149,9294568.99223872,511.722,11655177.1036269
"107","BRAZIL","BASF",12395696475.3035,436342684.926487,3618845358.23909,37329046092.033,825891.434,53779930610.5021
"108","BRAZIL","BAYER-CROPSCIENCE",9211021800.18682,243759772.237455,2157854931.38497,7641855889.8788,1726165.429,19254492393.688
"109","BRAZIL","COMPO",0,0,0,0,558.741,0
"110","BRAZIL","CORTEVA-(DOW/DUPONT)",12842323930.9841,912500948.654728,11293529679.5192,36473235533.4269,830224.399,61521590092.5849
"111","BRAZIL","DE-SANGOSSE",51.9793692500306,7.18958881573371,1.39794637368442,399.030916159564,7343.383,459.597820599013
"112","BRAZIL","FMC",9395036667.55571,520433062.988957,2688913482.27552,27764670754.9354,488725.048,40369053967.7556
"113","BRAZIL","KUMIAI",7237344527.84369,120455493.123406,3632229807.74478,4105238092.89705,244197.115,15095267921.6089
"114","BRAZIL","LONZA",0,0,0,0,89.919,0
"115","BRAZIL","MITSUI-CHEMICAL-AGRO-SANKYO",98250725.7921363,21292976.8698519,804397.172415024,540754691.849746,1138.36,661102791.68415
"116","BRAZIL","NORTOX",12536717583.1899,584411615.56593,3474337586.07992,30544434726.6992,156189.162,47139901511.5349
"117","BRAZIL","NUFARM",10985827351.2281,310994708.683904,7257268254.71449,8461133255.52976,178803.43,27015223570.1563
"118","BRAZIL","SIPCAM-OXON",2912669430.17376,259830093.332821,300610305.769345,9403626735.74014,38876.78,12876736565.0161
"119","BRAZIL","SUMITOMO CHEMICAL",8745.17805046511,858.969733247771,5317.96710114507,68254.0188527357,613.238,83176.1337375937
"120","BRAZIL","SYNGENTA",176137542198.977,19391307575.0684,77862414159.4909,377372111578.744,1634334.897,650763375512.28
"121","BRAZIL","UNITED-PHOSPHOROUS/UPL",20566011638.067,577404474.942915,9698308432.87126,22211031227.4074,564251.949,53052755773.2885
"122","BRAZIL","VARIOUS",27347389334.115,2509538220.48492,5683141026.75371,70174029562.8753,618483.188,105714098144.229
"123","BULGARIA","ADAMA",36282583.7390025,2692285.76064689,20937297.8619994,116824730.639516,3109.572,176736898.001165
"124","BULGARIA","BASF",96910489.1016163,7906494.63217442,21709003.1121834,374486345.684699,43120.542,501012332.530673
"125","BULGARIA","BAYER-CROPSCIENCE",40582436.7543938,2316170.76985224,2811192.15845832,52211966.4647203,26584.814,97921766.1474247
"126","BULGARIA","BELCHIM",167562.659534057,1951.58737867964,35639.0105673403,27982.4265069586,296.5,233135.683987035
"127","BULGARIA","CORTEVA-(DOW/DUPONT)",38826329.1935532,1389758.08400211,2625863.28871955,37069301.7303654,3227.155,79911252.2966403
"128","BULGARIA","FMC",4896545.25216574,568848.552318756,171892.560889418,8193101.61995999,4953.558,13830387.9853339
